VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore
422,2001-02,Light Goods Vehicle,Renault,60
423,2004-05,Personnel Vehicle,Renault,40
424,2005-06,Heavy Goods Vehicle,DAF,65
426,2009-10,Personnel Vehicle,DAF,100
427,2006-07,Light Goods Vehicle,Ford,55
432,2004-05,Heavy Goods Vehicle,Renault,15
432,2010-11,Heavy Goods Vehicle,Renault,15
433,2006-07,Light Goods Vehicle,Iveco,20
434,2002-03,Heavy Goods Vehicle,MAN,65
434,2010-11,Heavy Goods Vehicle,MAN,30
435,2004-05,Personnel Vehicle,Iveco,60
435,2010-11,Personnel Vehicle,Iveco,60
436,2002-03,Personnel Vehicle,MAN,60
438,2005-06,Personnel Vehicle,Iveco,75
439,2001-02,Heavy Goods Vehicle,Iveco,50
439,2007-08,Heavy Goods Vehicle,Iveco,40
446,2011-12,Personnel Vehicle,Renault,75
449,2005-06,Personnel Vehicle,DAF,50
449,2011-12,Personnel Vehicle,DAF,55
451,2010-11,Heavy Goods Vehicle,DAF,50
461,2004-05,Heavy Goods Vehicle,Iveco,60
461,2011-12,Heavy Goods Vehicle,Iveco,30
463,2011-12,Heavy Goods Vehicle,Renault,10
464,2007-08,Light Goods Vehicle,Volkswagen,20
465,2002-03,Heavy Goods Vehicle,Iveco,50
466,2006-07,Light Goods Vehicle,Iveco,48
467,2001-02,Personnel Vehicle,Renault,60
467,2010-11,Personnel Vehicle,Renault,70
469,2005-06,Personnel Vehicle,Renault,60
470,2005-06,Light Goods Vehicle,Renault,80
470,2011-12,Light Goods Vehicle,Renault,85
475,2000-01,Personnel Vehicle,Ford,100
478,2003-04,Heavy Goods Vehicle,DAF,40
478,2009-10,Heavy Goods Vehicle,DAF,60
480,2008-09,Light Goods Vehicle,Ford,20
482,2007-08,Heavy Goods Vehicle,MAN,75
482,2011-12,Heavy Goods Vehicle,MAN,60
484,2001-02,Personnel Vehicle,MAN,100
484,2008-09,Personnel Vehicle,MAN,100
485,2007-08,Light Goods Vehicle,MAN,35
486,2004-05,Light Goods Vehicle,MAN,48
487,2005-06,Light Goods Vehicle,Iveco,35
488,2003-04,Personnel Vehicle,Volkswagen,85
488,2010-11,Personnel Vehicle,Volkswagen,85
489,2007-08,Light Goods Vehicle,Volkswagen,70
491,2001-02,Light Goods Vehicle,Iveco,70
491,2007-08,Light Goods Vehicle,Iveco,45
492,2001-02,Personnel Vehicle,Renault,85
493,2005-06,Light Goods Vehicle,Renault,85
496,2011-12,Light Goods Vehicle,DAF,60
500,2003-04,Heavy Goods Vehicle,DAF,5
502,2001-02,Heavy Goods Vehicle,Renault,15
502,2006-07,Heavy Goods Vehicle,Renault,15
505,2001-02,Light Goods Vehicle,Iveco,40
505,2006-07,Light Goods Vehicle,Iveco,20
506,2004-05,Heavy Goods Vehicle,Iveco,40
506,2009-10,Heavy Goods Vehicle,Iveco,50
507,2003-04,Light Goods Vehicle,Renault,40
509,2009-10,Light Goods Vehicle,Iveco,80
510,2002-03,Light Goods Vehicle,Iveco,20
510,2006-07,Light Goods Vehicle,Iveco,35
511,2001-02,Personnel Vehicle,MAN,100
511,2008-09,Personnel Vehicle,MAN,100
512,2003-04,Light Goods Vehicle,Iveco,40
512,2010-11,Light Goods Vehicle,Iveco,0
515,2007-08,Light Goods Vehicle,Volkswagen,20
519,2005-06,Light Goods Vehicle,Renault,50
519,2011-12,Light Goods Vehicle,Renault,50
520,2002-03,Light Goods Vehicle,Renault,75
520,2008-09,Light Goods Vehicle,Renault,75
521,2006-07,Personnel Vehicle,Renault,70
528,2004-05,Light Goods Vehicle,DAF,60
535,2002-03,Light Goods Vehicle,DAF,65
535,2006-07,Light Goods Vehicle,DAF,70
535,2008-09,Light Goods Vehicle,DAF,10
541,2006-07,Light Goods Vehicle,DAF,40
552,2001-02,Heavy Goods Vehicle,Iveco,35
555,2004-05,Light Goods Vehicle,Renault,55
555,2010-11,Light Goods Vehicle,Renault,55
556,2002-03,Heavy Goods Vehicle,Renault,0
561,2004-05,Heavy Goods Vehicle,Ford,40
562,2003-04,Light Goods Vehicle,Renault,0
562,2006-07,Light Goods Vehicle,Renault,20
567,2006-07,Light Goods Vehicle,MAN,55
569,2001-02,Light Goods Vehicle,Volkswagen,30
569,2008-09,Light Goods Vehicle,Volkswagen,20
571,2002-03,Heavy Goods Vehicle,Renault,30
573,2005-06,Light Goods Vehicle,Renault,55
573,2011-12,Light Goods Vehicle,Renault,55
575,2009-10,Personnel Vehicle,Renault,10
581,2011-12,Personnel Vehicle,DAF,85
582,2007-08,Light Goods Vehicle,Ford,20
583,2006-07,Light Goods Vehicle,DAF,55
584,2006-07,Heavy Goods Vehicle,DAF,80
584,2010-11,Heavy Goods Vehicle,DAF,50
585,2006-07,Light Goods Vehicle,Iveco,35
586,2005-06,Light Goods Vehicle,Iveco,55
588,2006-07,Heavy Goods Vehicle,MAN,50
589,2001-02,Light Goods Vehicle,MAN,65
589,2009-10,Light Goods Vehicle,MAN,65
591,2003-04,Heavy Goods Vehicle,MAN,100
592,2005-06,Light Goods Vehicle,MAN,55
594,2002-03,Light Goods Vehicle,Iveco,65
594,2008-09,Light Goods Vehicle,Iveco,50
597,2005-06,Light Goods Vehicle,Renault,80
598,2006-07,Light Goods Vehicle,Iveco,48
599,2005-06,Light Goods Vehicle,Renault,50
599,2011-12,Light Goods Vehicle,Renault,65
600,2006-07,Heavy Goods Vehicle,Renault,0
601,2004-05,Light Goods Vehicle,Renault,80
607,2001-02,Light Goods Vehicle,DAF,70
607,2007-08,Light Goods Vehicle,DAF,70
610,2006-07,Heavy Goods Vehicle,DAF,80
610,2010-11,Heavy Goods Vehicle,DAF,50
611,2003-04,Light Goods Vehicle,Iveco,40
612,2001-02,Light Goods Vehicle,Iveco,20
612,2011-12,Light Goods Vehicle,Iveco,20
613,2005-06,Light Goods Vehicle,Iveco,50
614,2007-08,Light Goods Vehicle,Iveco,50
619,2002-03,Light Goods Vehicle,MAN,50
621,2002-03,Heavy Goods Vehicle,Iveco,5
621,2010-11,Heavy Goods Vehicle,Iveco,10
622,2003-04,Light Goods Vehicle,Renault,35
626,2004-05,Light Goods Vehicle,DAF,20
626,2011-12,Light Goods Vehicle,DAF,40
633,2002-03,Heavy Goods Vehicle,Ford,50
635,2003-04,Light Goods Vehicle,Renault,20
635,2006-07,Light Goods Vehicle,Renault,20
636,2008-09,Light Goods Vehicle,Ford,70
637,2001-02,Heavy Goods Vehicle,Volkswagen,15
638,2006-07,Heavy Goods Vehicle,DAF,80
638,2010-11,Heavy Goods Vehicle,DAF,50
640,2002-03,Light Goods Vehicle,MAN,70
642,2004-05,Heavy Goods Vehicle,MAN,40
642,2010-11,Heavy Goods Vehicle,MAN,65
644,2003-04,Light Goods Vehicle,Renault,70
647,2001-02,Light Goods Vehicle,Iveco,48
647,2006-07,Light Goods Vehicle,Iveco,35
648,2003-04,Light Goods Vehicle,MAN,50
648,2011-12,Light Goods Vehicle,MAN,50
653,2003-04,Light Goods Vehicle,Renault,35
655,2001-02,Light Goods Vehicle,Iveco,60
655,2007-08,Light Goods Vehicle,Iveco,55
658,2006-07,Light Goods Vehicle,Renault,40
661,2005-06,Light Goods Vehicle,Renault,70
661,2011-12,Light Goods Vehicle,Renault,70
662,2003-04,Light Goods Vehicle,Renault,75
663,2010-11,Heavy Goods Vehicle,Renault,50
664,2006-07,Personnel Vehicle,DAF,70
665,2006-07,Heavy Goods Vehicle,Ford,50
666,2004-05,Heavy Goods Vehicle,DAF,75
669,2007-08,Light Goods Vehicle,Ford,60
670,2007-08,Light Goods Vehicle,DAF,68
671,2004-05,Personnel Vehicle,DAF,75
671,2011-12,Personnel Vehicle,DAF,75
672,2006-07,Heavy Goods Vehicle,DAF,50
674,2003-04,Light Goods Vehicle,Iveco,40
674,2008-09,Light Goods Vehicle,Iveco,0
675,2006-07,Light Goods Vehicle,Iveco,20
677,2001-02,Heavy Goods Vehicle,Iveco,30
678,2004-05,Light Goods Vehicle,Iveco,50
679,2005-06,Light Goods Vehicle,MAN,20
680,2005-06,Light Goods Vehicle,Iveco,45
681,2004-05,Heavy Goods Vehicle,MAN,30
681,2010-11,Heavy Goods Vehicle,MAN,30
682,2008-09,Light Goods Vehicle,Iveco,55
682,2011-12,Light Goods Vehicle,Iveco,20
683,2006-07,Personnel Vehicle,MAN,100
683,2011-12,Personnel Vehicle,MAN,100
684,2001-02,Light Goods Vehicle,Iveco,65
684,2006-07,Light Goods Vehicle,Iveco,50
691,2006-07,Heavy Goods Vehicle,DAF,35
694,2005-06,Personnel Vehicle,DAF,40
695,2011-12,Heavy Goods Vehicle,Ford,60
696,2006-07,Personnel Vehicle,DAF,50
698,2007-08,Light Goods Vehicle,MAN,50
699,2002-03,Heavy Goods Vehicle,Renault,10
699,2011-12,Heavy Goods Vehicle,Renault,30
700,2006-07,Heavy Goods Vehicle,Iveco,15
703,2004-05,Heavy Goods Vehicle,Iveco,75
703,2011-12,Heavy Goods Vehicle,Iveco,65
705,2001-02,Light Goods Vehicle,Volkswagen,45
705,2008-09,Light Goods Vehicle,Volkswagen,20
707,2006-07,Light Goods Vehicle,Iveco,65
708,2004-05,Light Goods Vehicle,Renault,55
710,2003-04,Personnel Vehicle,Renault,75
715,2004-05,Heavy Goods Vehicle,DAF,5
715,2011-12,Heavy Goods Vehicle,DAF,10
717,2005-06,Light Goods Vehicle,DAF,55
719,2004-05,Personnel Vehicle,Ford,70
719,2010-11,Personnel Vehicle,Ford,60
720,2006-07,Personnel Vehicle,DAF,80
721,2003-04,Light Goods Vehicle,Iveco,20
721,2006-07,Light Goods Vehicle,Iveco,50
724,2003-04,Light Goods Vehicle,Iveco,65
724,2008-09,Light Goods Vehicle,Iveco,68
725,2003-04,Light Goods Vehicle,MAN,70
726,2005-06,Light Goods Vehicle,Iveco,35
726,2011-12,Light Goods Vehicle,Iveco,0
727,2003-04,Light Goods Vehicle,Volkswagen,50
728,2005-06,Light Goods Vehicle,MAN,48
730,2007-08,Heavy Goods Vehicle,Volkswagen,70
733,2001-02,Light Goods Vehicle,Iveco,70
733,2008-09,Light Goods Vehicle,Iveco,65
734,2002-03,Light Goods Vehicle,Iveco,80
735,2004-05,Light Goods Vehicle,Renault,50
735,2010-11,Light Goods Vehicle,Renault,50
737,2004-05,Heavy Goods Vehicle,DAF,90
743,2001-02,Personnel Vehicle,DAF,100
743,2007-08,Personnel Vehicle,DAF,90
745,2005-06,Light Goods Vehicle,MAN,70
746,2001-02,Light Goods Vehicle,Iveco,55
746,2006-07,Light Goods Vehicle,Iveco,20
747,2001-02,Light Goods Vehicle,MAN,70
747,2008-09,Light Goods Vehicle,MAN,70
748,2007-08,Light Goods Vehicle,Volkswagen,20
749,2006-07,Light Goods Vehicle,MAN,20
750,2004-05,Light Goods Vehicle,Iveco,35
750,2011-12,Light Goods Vehicle,Iveco,35
752,2007-08,Light Goods Vehicle,Iveco,70
753,2006-07,Light Goods Vehicle,Iveco,75
754,2004-05,Light Goods Vehicle,Renault,88
754,2010-11,Light Goods Vehicle,Renault,50
757,2004-05,Heavy Goods Vehicle,DAF,75
757,2011-12,Heavy Goods Vehicle,DAF,65
760,2004-05,Personnel Vehicle,DAF,55
760,2011-12,Personnel Vehicle,DAF,55
765,2005-06,Light Goods Vehicle,Ford,48
765,2006-07,Light Goods Vehicle,Ford,48
767,2004-05,Heavy Goods Vehicle,DAF,75
770,2006-07,Light Goods Vehicle,MAN,55
773,2003-04,Light Goods Vehicle,Renault,20
773,2009-10,Light Goods Vehicle,Renault,20
774,2000-01,Light Goods Vehicle,MAN,35
775,2002-03,Light Goods Vehicle,MAN,70
778,2002-03,Heavy Goods Vehicle,Iveco,10
778,2007-08,Heavy Goods Vehicle,Iveco,30
779,2011-12,Personnel Vehicle,Renault,55
780,2004-05,Light Goods Vehicle,Renault,75
780,2010-11,Light Goods Vehicle,Renault,80
781,2005-06,Light Goods Vehicle,Renault,0
781,2011-12,Light Goods Vehicle,Renault,0
782,2003-04,Light Goods Vehicle,Renault,75
787,2011-12,Personnel Vehicle,DAF,60
788,2006-07,Light Goods Vehicle,Ford,70
790,2005-06,Light Goods Vehicle,Ford,70
790,2006-07,Light Goods Vehicle,Ford,85
790,2009-10,Light Goods Vehicle,Ford,80
792,2006-07,Light Goods Vehicle,MAN,45
794,2004-05,Light Goods Vehicle,Renault,0
797,2001-02,Light Goods Vehicle,MAN,70
797,2009-10,Light Goods Vehicle,MAN,70
799,2007-08,Personnel Vehicle,Volkswagen,55
802,2005-06,Heavy Goods Vehicle,DAF,40
806,2006-07,Light Goods Vehicle,Volkswagen,85
807,2009-10,Light Goods Vehicle,MAN,0
812,2002-03,Light Goods Vehicle,Iveco,80
812,2008-09,Light Goods Vehicle,Iveco,60
813,2002-03,Light Goods Vehicle,Iveco,0
813,2006-07,Light Goods Vehicle,Iveco,0
817,2002-03,Personnel Vehicle,Iveco,80
817,2010-11,Personnel Vehicle,Iveco,75
819,2005-06,Light Goods Vehicle,Renault,48
819,2011-12,Light Goods Vehicle,Renault,80
821,2005-06,Heavy Goods Vehicle,Renault,30
824,2005-06,Light Goods Vehicle,Ford,50
828,2005-06,Heavy Goods Vehicle,DAF,40
830,2009-10,Light Goods Vehicle,Iveco,85
833,2009-10,Heavy Goods Vehicle,Volkswagen,35
834,2006-07,Heavy Goods Vehicle,Iveco,60
836,2004-05,Light Goods Vehicle,Renault,80
836,2011-12,Light Goods Vehicle,Renault,55
837,2005-06,Light Goods Vehicle,Renault,20
837,2011-12,Light Goods Vehicle,Renault,20
838,2006-07,Light Goods Vehicle,Renault,48
839,2004-05,Heavy Goods Vehicle,Iveco,60
839,2009-10,Heavy Goods Vehicle,Iveco,50
840,2004-05,Personnel Vehicle,DAF,85
840,2010-11,Personnel Vehicle,DAF,40
842,2003-04,Personnel Vehicle,DAF,90
842,2010-11,Personnel Vehicle,DAF,70
844,2007-08,Light Goods Vehicle,Ford,50
845,2000-01,Personnel Vehicle,Ford,60
847,2000-01,Heavy Goods Vehicle,Ford,50
847,2011-12,Heavy Goods Vehicle,Ford,65
849,2002-03,Light Goods Vehicle,Iveco,50
849,2006-07,Light Goods Vehicle,Iveco,60
850,2007-08,Light Goods Vehicle,Iveco,50
851,2009-10,Light Goods Vehicle,Iveco,85
853,2006-07,Light Goods Vehicle,Volkswagen,48
854,2007-08,Light Goods Vehicle,Iveco,20
855,2005-06,Heavy Goods Vehicle,Renault,10
856,2001-02,Light Goods Vehicle,Iveco,20
856,2007-08,Light Goods Vehicle,Iveco,20
859,2005-06,Light Goods Vehicle,Renault,50
862,2004-05,Heavy Goods Vehicle,DAF,15
862,2011-12,Heavy Goods Vehicle,DAF,10
863,2008-09,Light Goods Vehicle,Ford,20
865,2005-06,Heavy Goods Vehicle,Ford,30
865,2006-07,Heavy Goods Vehicle,Ford,5
865,2011-12,Heavy Goods Vehicle,Ford,30
866,2008-09,Personnel Vehicle,Ford,70
867,2008-09,Light Goods Vehicle,Ford,50
868,2002-03,Personnel Vehicle,Ford,10
869,2002-03,Light Goods Vehicle,Iveco,60
869,2006-07,Light Goods Vehicle,Iveco,48
870,2006-07,Personnel Vehicle,Iveco,60
872,2009-10,Heavy Goods Vehicle,Iveco,50
873,2009-10,Light Goods Vehicle,Iveco,60
874,2002-03,Heavy Goods Vehicle,Iveco,50
874,2008-09,Heavy Goods Vehicle,Iveco,50
876,2001-02,Heavy Goods Vehicle,MAN,80
878,2001-02,Light Goods Vehicle,Iveco,70
878,2007-08,Light Goods Vehicle,Iveco,50
880,2007-08,Heavy Goods Vehicle,Iveco,15
881,2002-03,Heavy Goods Vehicle,Renault,15
884,2003-04,Heavy Goods Vehicle,DAF,80
884,2009-10,Heavy Goods Vehicle,DAF,80
885,2003-04,Heavy Goods Vehicle,Renault,30
885,2011-12,Heavy Goods Vehicle,Renault,10
889,2001-02,Light Goods Vehicle,Ford,70
889,2008-09,Light Goods Vehicle,Ford,70
891,2007-08,Light Goods Vehicle,Ford,50
892,2007-08,Light Goods Vehicle,Ford,50
895,2006-07,Light Goods Vehicle,Iveco,55
898,2003-04,Light Goods Vehicle,MAN,65
899,2005-06,Heavy Goods Vehicle,Iveco,0
905,2005-06,Light Goods Vehicle,MAN,68
909,2005-06,Personnel Vehicle,Iveco,85
909,2011-12,Personnel Vehicle,Iveco,85
915,2003-04,Personnel Vehicle,DAF,70
917,2007-08,Light Goods Vehicle,Ford,55
918,2004-05,Heavy Goods Vehicle,Ford,60
918,2010-11,Heavy Goods Vehicle,Ford,60
919,2008-09,Light Goods Vehicle,Ford,70
920,2007-08,Light Goods Vehicle,Ford,50
921,2003-04,Personnel Vehicle,Iveco,70
922,2008-09,Light Goods Vehicle,MAN,50
923,2004-05,Heavy Goods Vehicle,MAN,15
925,2002-03,Light Goods Vehicle,MAN,70
928,2001-02,Personnel Vehicle,Iveco,100
929,2002-03,Light Goods Vehicle,MAN,70
931,2001-02,Light Goods Vehicle,MAN,70
931,2008-09,Light Goods Vehicle,MAN,70
932,2004-05,Heavy Goods Vehicle,Iveco,5
933,2001-02,Heavy Goods Vehicle,Iveco,15
933,2008-09,Heavy Goods Vehicle,Iveco,65
934,2005-06,Heavy Goods Vehicle,Renault,10
936,2004-05,Heavy Goods Vehicle,Iveco,60
939,2002-03,Light Goods Vehicle,DAF,45
942,2001-02,Heavy Goods Vehicle,Ford,40
942,2008-09,Heavy Goods Vehicle,Ford,50
942,2011-12,Heavy Goods Vehicle,Ford,60
943,2006-07,Light Goods Vehicle,Ford,65
944,2003-04,Heavy Goods Vehicle,Renault,35
944,2006-07,Heavy Goods Vehicle,Renault,50
945,2001-02,Heavy Goods Vehicle,Ford,65
945,2008-09,Heavy Goods Vehicle,Ford,50
945,2011-12,Heavy Goods Vehicle,Ford,50
946,2004-05,Light Goods Vehicle,MAN,60
946,2010-11,Light Goods Vehicle,MAN,60
947,2007-08,Heavy Goods Vehicle,MAN,15
949,2006-07,Heavy Goods Vehicle,MAN,75
950,2006-07,Light Goods Vehicle,Iveco,20
951,2005-06,Heavy Goods Vehicle,Iveco,5
952,2007-08,Light Goods Vehicle,Iveco,50
955,2002-03,Light Goods Vehicle,MAN,60
956,2000-01,Light Goods Vehicle,Iveco,10
956,2006-07,Light Goods Vehicle,Iveco,10
957,2007-08,Light Goods Vehicle,MAN,68
958,2002-03,Light Goods Vehicle,Renault,70
958,2009-10,Light Goods Vehicle,Renault,85
959,2002-03,Heavy Goods Vehicle,Volkswagen,40
959,2009-10,Heavy Goods Vehicle,Volkswagen,40
961,2005-06,Light Goods Vehicle,MAN,45
965,2005-06,Light Goods Vehicle,Renault,50
965,2011-12,Light Goods Vehicle,Renault,50
966,2006-07,Heavy Goods Vehicle,Renault,15
972,2007-08,Light Goods Vehicle,Ford,48
973,2007-08,Personnel Vehicle,Ford,45
975,2001-02,Light Goods Vehicle,DAF,50
975,2007-08,Light Goods Vehicle,DAF,60
976,2003-04,Light Goods Vehicle,Renault,40
976,2006-07,Light Goods Vehicle,Renault,40
977,2006-07,Light Goods Vehicle,Ford,70
981,2004-05,Light Goods Vehicle,MAN,65
987,2007-08,Light Goods Vehicle,Volkswagen,20
991,2006-07,Light Goods Vehicle,Ford,50
993,2007-08,Personnel Vehicle,Ford,90
994,2001-02,Light Goods Vehicle,DAF,20
994,2007-08,Light Goods Vehicle,DAF,60
995,2005-06,Light Goods Vehicle,Ford,35
